attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
41648,92,Melbourne,"Wed, 8-Mar-2000 7:40 PM (6:40 PM)",94,Richmond,2,1,2000,"Gavin Dore (223), Andrew Coates (186), Mark McKenzie (83)",http://afltables.com/afl/stats/games/2000/111420000308.html,M.C.G.
43012,62,Port Adelaide,"Thu, 9-Mar-2000 8:15 PM (7:15 PM)",156,Essendon,94,1,2000,"Brett Allen (150), Scott McLaren (100), Mark Nash (127)",http://afltables.com/afl/stats/games/2000/051320000309.html,Docklands
20580,154,West Coast,"Fri, 10-Mar-2000 7:40 PM (6:40 PM)",111,Kangaroos,-43,1,2000,"Darren Goldspink (202), Steven Hanley (57), Michael Vozzo (14)",http://afltables.com/afl/stats/games/2000/121820000310.html,M.C.G.
37222,131,Western Bulldogs,"Sat, 11-Mar-2000 2:50 PM (2:20 PM)",108,Adelaide,-23,1,2000,"Bryan Sheehan (285), Darren McCauley (52), Troy Burton (36)",http://afltables.com/afl/stats/games/2000/010720000311.html,Football Park
19777,129,Geelong,"Sat, 11-Mar-2000 5:40 PM (7:40 PM)",107,Fremantle,-22,1,2000,"Stephen McBurney (80), Martin Ellis (59), Vince Sercia (45)",http://afltables.com/afl/stats/games/2000/080920000311.html,Subiaco
31440,134,Sydney,"Sun, 12-Mar-2000 7:40 PM (6:40 PM)",100,St Kilda,-34,1,2000,"John Harvey (125), Stuart Wenn (57), Matthew Norden (63)",http://afltables.com/afl/stats/games/2000/151620000312.html,Docklands
22374,112,Brisbane Lions,"Mon, 13-Mar-2000 2:10 PM (1:10 PM)",152,Carlton,40,1,2000,"Chris Mitchell (278), Ray Kelsey (12), Derek Humphery-Smith (42)",http://afltables.com/afl/stats/games/2000/031920000313.html,Princes Park
53776,140,Collingwood,"Mon, 13-Mar-2000 2:10 PM (1:10 PM)",86,Hawthorn,-54,1,2000,"Hayden Kennedy (233), Justin Schmitt (16), Shane McInerney (74)",http://afltables.com/afl/stats/games/2000/041020000313.html,M.C.G.
49521,87,Richmond,"Thu, 16-Mar-2000 7:40 PM (6:40 PM)",130,Essendon,43,2,2000,"Darren Goldspink (203), Steven Hanley (58), Corin Rowe (14)",http://afltables.com/afl/stats/games/2000/051420000316.html,M.C.G.
23348,120,Kangaroos,"Fri, 17-Mar-2000 7:40 PM (6:40 PM)",145,Melbourne,25,2,2000,"Bryan Sheehan (286), Darren McCauley (53), Kieron Nicholls (14)",http://afltables.com/afl/stats/games/2000/111220000317.html,M.C.G.
20476,99,St Kilda,"Sat, 18-Mar-2000 2:10 PM (1:10 PM)",139,Geelong,40,2,2000,"Chris Mitchell (279), David Howlett (270), Derek Humphery-Smith (43)",http://afltables.com/afl/stats/games/2000/091520000318.html,Kardinia Park
24695,125,Fremantle,"Sat, 18-Mar-2000 7:10 PM (6:40 PM)",87,Port Adelaide,-38,2,2000,"Hayden Kennedy (234), Justin Schmitt (17), Shane McInerney (75)",http://afltables.com/afl/stats/games/2000/081320000318.html,Football Park
33076,92,Adelaide,"Sun, 19-Mar-2000 2:10 PM (1:10 PM)",103,Collingwood,11,2,2000,"Stephen McBurney (81), Martin Ellis (60), Darren Morris (12)",http://afltables.com/afl/stats/games/2000/010420000319.html,M.C.G.
21161,112,Hawthorn,"Sun, 19-Mar-2000 2:10 PM (1:10 PM)",154,Carlton,42,2,2000,"John Harvey (126), Stuart Wenn (58), Ray Kelsey (13)",http://afltables.com/afl/stats/games/2000/031020000319.html,Princes Park
24460,139,Brisbane Lions,"Sun, 19-Mar-2000 7:40 PM (6:40 PM)",110,Western Bulldogs,-29,2,2000,"Gavin Dore (224), Andrew Coates (187), Mark McKenzie (84)",http://afltables.com/afl/stats/games/2000/071920000319.html,Docklands
38127,82,Sydney,"Sun, 19-Mar-2000 5:40 PM (7:40 PM)",70,West Coast,-12,2,2000,"Brett Allen (151), Scott McLaren (101), Mark Nash (128)",http://afltables.com/afl/stats/games/2000/161820000319.html,Subiaco
37543,170,Kangaroos,"Fri, 24-Mar-2000 7:40 PM (6:40 PM)",134,Richmond,-36,3,2000,"Hayden Kennedy (235), Shane McInerney (76), Justin Schmitt (18)",http://afltables.com/afl/stats/games/2000/121420000324.html,M.C.G.
20374,103,Brisbane Lions,"Sat, 25-Mar-2000 2:10 PM (1:10 PM)",110,Hawthorn,7,3,2000,"Scott McLaren (102), Troy Burton (37), Kieron Nicholls (15)",http://afltables.com/afl/stats/games/2000/101920000325.html,M.C.G.
39179,111,Geelong,"Sat, 25-Mar-2000 7:10 PM (6:40 PM)",100,Adelaide,-11,3,2000,"Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)",http://afltables.com/afl/stats/games/2000/010920000325.html,Football Park
21215,116,West Coast,"Sat, 25-Mar-2000 7:40 PM (6:40 PM)",116,St Kilda,0,3,2000,"Gavin Dore (225), Andrew Coates (188), Matthew Norden (64)",http://afltables.com/afl/stats/games/2000/151820000325.html,Docklands
82669,87,Carlton,"Sun, 26-Mar-2000 2:10 PM",160,Collingwood,73,3,2000,"Chris Mitchell (280), David Howlett (271), Derek Humphery-Smith (44)",http://afltables.com/afl/stats/games/2000/030420000326.html,M.C.G.
18134,94,Port Adelaide,"Sun, 26-Mar-2000 2:10 PM",141,Western Bulldogs,47,3,2000,"John Harvey (127), Stuart Wenn (59), Ray Kelsey (14)",http://afltables.com/afl/stats/games/2000/071320000326.html,Docklands
26920,114,Melbourne,"Sun, 26-Mar-2000 2:10 PM",126,Sydney,12,3,2000,"Stephen McBurney (82), Mark McKenzie (85), Vince Sercia (46), Troy Burton (38)",http://afltables.com/afl/stats/games/2000/111620000326.html,S.C.G.
27230,124,Essendon,"Sun, 26-Mar-2000 6:40 PM (8:40 PM)",88,Fremantle,-36,3,2000,"Bryan Sheehan (287), Mathew James (13), Darren Morris (13)",http://afltables.com/afl/stats/games/2000/050820000326.html,Subiaco
34623,99,Geelong,"Fri, 31-Mar-2000 7:40 PM",104,Kangaroos,5,4,2000,"Stephen McBurney (83), Scott McLaren (103), Martin Ellis (61)",http://afltables.com/afl/stats/games/2000/091220000331.html,Docklands
30576,59,Carlton,"Sat, 1-Apr-2000 2:10 PM",98,Western Bulldogs,39,4,2000,"Bryan Sheehan (288), Darren McCauley (54), Troy Burton (39)",http://afltables.com/afl/stats/games/2000/030720000401.html,Docklands
46889,137,Essendon,"Sat, 1-Apr-2000 2:10 PM",90,Hawthorn,-47,4,2000,"Hayden Kennedy (236), Mathew James (14), Mark Nash (129)",http://afltables.com/afl/stats/games/2000/051020000401.html,M.C.G.
34687,106,Collingwood,"Sat, 1-Apr-2000 7:40 PM",101,Sydney,-5,4,2000,"Gavin Dore (226), Andrew Coates (189), Darren Morris (14)",http://afltables.com/afl/stats/games/2000/041620000401.html,S.C.G.
26008,73,Adelaide,"Sat, 1-Apr-2000 8:10 PM (10:10 PM)",187,West Coast,114,4,2000,"Chris Mitchell (281), David Howlett (272), Matthew Norden (65)",http://afltables.com/afl/stats/games/2000/011820000401.html,W.A.C.A.
24458,106,Brisbane Lions,"Sun, 2-Apr-2000 1:40 PM (2:10 PM)",149,Port Adelaide,43,4,2000,"Darren Goldspink (205), Steven Hanley (60), Michael Vozzo (16)",http://afltables.com/afl/stats/games/2000/131920000402.html,Football Park
23578,88,Fremantle,"Sun, 2-Apr-2000 2:10 PM",87,Richmond,-1,4,2000,"Mark McKenzie (86), Brett Allen (152), Michael Avon (6)",http://afltables.com/afl/stats/games/2000/081420000402.html,Docklands
31642,75,St Kilda,"Sun, 2-Apr-2000 2:10 PM",165,Melbourne,90,4,2000,"John Harvey (128), Stuart Wenn (60), Richard Fox (1)",http://afltables.com/afl/stats/games/2000/111520000402.html,M.C.G.
45141,118,Collingwood,"Fri, 7-Apr-2000 7:40 PM",110,Western Bulldogs,-8,5,2000,"Bryan Sheehan (289), John Harvey (129), Gavin Dore (227)",http://afltables.com/afl/stats/games/2000/040720000407.html,Docklands
64658,99,Carlton,"Sat, 8-Apr-2000 2:10 PM",123,Essendon,24,5,2000,"Brett Allen (153), Mark McKenzie (87), Steven Hanley (61)",http://afltables.com/afl/stats/games/2000/030520000408.html,M.C.G.
26395,92,Adelaide,"Sat, 8-Apr-2000 7:40 PM",122,Brisbane Lions,30,5,2000,"Hayden Kennedy (237), Stuart Wenn (61), Shane McInerney (77)",http://afltables.com/afl/stats/games/2000/011920000408.html,Gabba
20484,106,Melbourne,"Sat, 8-Apr-2000 8:10 PM (10:10 PM)",75,Fremantle,-31,5,2000,"Andrew Coates (190), Kieron Nicholls (16), Ray Kelsey (15)",http://afltables.com/afl/stats/games/2000/081120000408.html,W.A.C.A.
22623,81,West Coast,"Sun, 9-Apr-2000 2:10 PM",162,Geelong,81,5,2000,"Darren Goldspink (206), Vince Sercia (47), Richard Fox (2)",http://afltables.com/afl/stats/games/2000/091820000409.html,Kardinia Park
19306,120,Sydney,"Sun, 9-Apr-2000 2:10 PM",128,Kangaroos,8,5,2000,"Darren McCauley (55), David Howlett (273), Mark Nash (130)",http://afltables.com/afl/stats/games/2000/121620000409.html,S.C.G.
26374,110,Richmond,"Sun, 9-Apr-2000 2:10 PM",84,St Kilda,-26,5,2000,"Scott McLaren (104), Stephen McBurney (84), Martin Ellis (62)",http://afltables.com/afl/stats/games/2000/141520000409.html,Docklands
22086,113,Hawthorn,"Sun, 9-Apr-2000 8:10 PM (8:40 PM)",74,Port Adelaide,-39,5,2000,"Chris Mitchell (282), Derek Humphery-Smith (45), Justin Schmitt (19)",http://afltables.com/afl/stats/games/2000/101320000409.html,Football Park
42029,144,Essendon,"Fri, 14-Apr-2000 7:40 PM",81,Western Bulldogs,-63,6,2000,"Scott McLaren (105), Martin Ellis (63), Gavin Dore (228)",http://afltables.com/afl/stats/games/2000/050720000414.html,Docklands
16415,78,Port Adelaide,"Sat, 15-Apr-2000 2:10 PM",169,Carlton,91,6,2000,"Andrew Coates (191), Kieron Nicholls (17), Ray Kelsey (16), Scott McLaren (106)",http://afltables.com/afl/stats/games/2000/031320000415.html,Princes Park
55802,114,Kangaroos,"Sat, 15-Apr-2000 2:10 PM",82,Collingwood,-32,6,2000,"Hayden Kennedy (238), Shane McInerney (78), Stuart Wenn (62)",http://afltables.com/afl/stats/games/2000/041220000415.html,M.C.G.
18194,105,Brisbane Lions,"Sat, 15-Apr-2000 7:40 PM",66,St Kilda,-39,6,2000,"Chris Mitchell (283), Derek Humphery-Smith (46), Justin Schmitt (20)",http://afltables.com/afl/stats/games/2000/151920000415.html,Docklands
40519,61,Fremantle,"Sat, 15-Apr-2000 6:40 PM (8:40 PM)",178,West Coast,117,6,2000,"Darren McCauley (56), David Howlett (274), Troy Burton (40)",http://afltables.com/afl/stats/games/2000/081820000415.html,Subiaco
26761,84,Melbourne,"Sun, 16-Apr-2000 2:10 PM",109,Geelong,25,6,2000,"Bryan Sheehan (290), Darren Morris (15), Matthew Norden (66)",http://afltables.com/afl/stats/games/2000/091120000416.html,Kardinia Park
25049,112,Richmond,"Sun, 16-Apr-2000 2:40 PM",106,Sydney,-6,6,2000,"Brett Allen (154), Steven Hanley (62), Michael Vozzo (17)",http://afltables.com/afl/stats/games/2000/141620000416.html,S.C.G.
38158,57,Hawthorn,"Sun, 16-Apr-2000 2:50 PM (3:20 PM)",143,Adelaide,86,6,2000,"Darren Goldspink (207), John Harvey (130), Michael Avon (7)",http://afltables.com/afl/stats/games/2000/011020000416.html,Football Park
29405,92,Western Bulldogs,"Sat, 22-Apr-2000 2:10 PM",123,Hawthorn,31,7,2000,"Brett Allen (155), Steven Hanley (63), Michael Vozzo (18)",http://afltables.com/afl/stats/games/2000/071020000422.html,M.C.G.
27040,108,Geelong,"Sat, 22-Apr-2000 7:40 PM",99,Sydney,-9,7,2000,"David Howlett (275), Troy Burton (41), Vince Sercia (48)",http://afltables.com/afl/stats/games/2000/091620000422.html,S.C.G.
25977,129,Kangaroos,"Sat, 22-Apr-2000 7:40 PM",117,St Kilda,-12,7,2000,"Bryan Sheehan (291), Darren Morris (16), Matthew Norden (67)",http://afltables.com/afl/stats/games/2000/121520000422.html,Docklands
41101,98,Adelaide,"Sun, 23-Apr-2000 1:40 PM (2:10 PM)",91,Port Adelaide,-7,7,2000,"Chris Mitchell (284), Mark Nash (131), Stuart Wenn (63)",http://afltables.com/afl/stats/games/2000/011320000423.html,Football Park
20774,77,West Coast,"Sun, 23-Apr-2000 2:10 PM",138,Melbourne,61,7,2000,"Andrew Coates (192), Richard Fox (3), Gavin Dore (229)",http://afltables.com/afl/stats/games/2000/111820000423.html,Docklands
63149,120,Carlton,"Mon, 24-Apr-2000 2:10 PM",69,Richmond,-51,7,2000,"Hayden Kennedy (239), Mark McKenzie (88), Ray Kelsey (17)",http://afltables.com/afl/stats/games/2000/031420000424.html,M.C.G.
88390,140,Essendon,"Tue, 25-Apr-2000 2:15 PM",100,Collingwood,-40,7,2000,"Darren Goldspink (208), Scott McLaren (107), Stephen McBurney (85)",http://afltables.com/afl/stats/games/2000/040520000425.html,M.C.G.
19800,100,Brisbane Lions,"Tue, 25-Apr-2000 2:10 PM (4:10 PM)",111,Fremantle,11,7,2000,"John Harvey (131), Michael Avon (8), Martin Ellis (64)",http://afltables.com/afl/stats/games/2000/081920000425.html,Subiaco
36514,128,Hawthorn,"Fri, 28-Apr-2000 7:40 PM",67,Kangaroos,-61,8,2000,"Darren Morris (17), Chris Mitchell (285), Mark Nash (132)",http://afltables.com/afl/stats/games/2000/101220000428.html,M.C.G.
20125,108,Adelaide,"Sat, 29-Apr-2000 2:10 PM",68,St Kilda,-40,8,2000,"Darren Goldspink (209), Shane McInerney (79), Kieron Nicholls (18)",http://afltables.com/afl/stats/games/2000/011520000429.html,Docklands
26554,102,Western Bulldogs,"Sat, 29-Apr-2000 6:40 PM (8:40 PM)",108,West Coast,6,8,2000,"Hayden Kennedy (240), Bryan Sheehan (292), Derek Humphery-Smith (47)",http://afltables.com/afl/stats/games/2000/071820000429.html,W.A.C.A.
22490,111,Melbourne,"Sun, 30-Apr-2000 1:40 PM (2:10 PM)",86,Port Adelaide,-25,8,2000,"Gavin Dore (230), Mark McKenzie (89), Vince Sercia (49)",http://afltables.com/afl/stats/games/2000/111320000430.html,Football Park
19964,64,Sydney,"Sun, 30-Apr-2000 2:10 PM",109,Carlton,45,8,2000,"Scott McLaren (108), Stephen McBurney (86), Stuart Wenn (64)",http://afltables.com/afl/stats/games/2000/031620000430.html,Princes Park
35171,147,Richmond,"Sun, 30-Apr-2000 2:10 PM",77,Geelong,-70,8,2000,"John Harvey (132), Justin Schmitt (21), Corin Rowe (15)",http://afltables.com/afl/stats/games/2000/091420000430.html,Docklands
33947,107,Fremantle,"Mon, 1-May-2000 7:00 PM",85,Collingwood,-22,8,2000,"Andrew Coates (193), Richard Fox (4), Darren McCauley (57)",http://afltables.com/afl/stats/games/2000/040820000501.html,Docklands
31887,127,Essendon,"Mon, 1-May-2000 7:40 PM",63,Brisbane Lions,-64,8,2000,"Ray Kelsey (18), Brett Allen (156), Steven Hanley (64)",http://afltables.com/afl/stats/games/2000/051920000501.html,Gabba
35505,104,St Kilda,"Fri, 5-May-2000 7:40 PM",105,Western Bulldogs,1,9,2000,"John Harvey (133), Chris Mitchell (286), Michael Vozzo (19)",http://afltables.com/afl/stats/games/2000/071520000505.html,Docklands
39116,73,Geelong,"Sat, 6-May-2000 2:10 PM",98,Hawthorn,25,9,2000,"David Howlett (276), Gavin Dore (231), Vince Sercia (50)",http://afltables.com/afl/stats/games/2000/091020000506.html,M.C.G.
40402,128,Kangaroos,"Sat, 6-May-2000 7:10 PM (7:40 PM)",125,Adelaide,-3,9,2000,"Andrew Coates (194), Darren McCauley (58), Michael Avon (9)",http://afltables.com/afl/stats/games/2000/011220000506.html,Football Park
26304,70,West Coast,"Sat, 6-May-2000 7:40 PM",79,Richmond,9,9,2000,"Ray Kelsey (19), Brett Allen (157), Steven Hanley (65)",http://afltables.com/afl/stats/games/2000/141820000506.html,Docklands
62606,106,Essendon,"Sun, 7-May-2000 2:10 PM",93,Melbourne,-13,9,2000,"Hayden Kennedy (241), Mark McKenzie (90), Derek Humphery-Smith (48)",http://afltables.com/afl/stats/games/2000/051120000507.html,M.C.G.
22446,85,Port Adelaide,"Sun, 7-May-2000 2:10 PM",111,Sydney,26,9,2000,"Scott McLaren (109), Stephen McBurney (87), Corin Rowe (16)",http://afltables.com/afl/stats/games/2000/131620000507.html,S.C.G.
29046,117,Collingwood,"Sun, 7-May-2000 2:40 PM",146,Brisbane Lions,29,9,2000,"Bryan Sheehan (293), Kieron Nicholls (19), Martin Ellis (65)",http://afltables.com/afl/stats/games/2000/041920000507.html,Gabba
28421,147,Carlton,"Sun, 7-May-2000 1:20 PM (3:20 PM)",82,Fremantle,-65,9,2000,"Darren Goldspink (210), Justin Schmitt (22), Shane McInerney (80)",http://afltables.com/afl/stats/games/2000/030820000507.html,Subiaco
37549,88,Hawthorn,"Fri, 12-May-2000 6:40 PM (8:40 PM)",118,West Coast,30,10,2000,"Scott McLaren (110), Stuart Wenn (65), Stephen McBurney (88)",http://afltables.com/afl/stats/games/2000/101820000512.html,Subiaco
64769,54,Collingwood,"Sat, 13-May-2000 2:10 PM",102,Richmond,48,10,2000,"Chris Mitchell (287), Michael Avon (10), Mark McKenzie (91)",http://afltables.com/afl/stats/games/2000/041420000513.html,M.C.G.
19511,78,Geelong,"Sat, 13-May-2000 7:10 PM (7:40 PM)",78,Port Adelaide,0,10,2000,"Bryan Sheehan (294), Hayden Kennedy (242), Martin Ellis (66)",http://afltables.com/afl/stats/games/2000/091320000513.html,Football Park
38151,109,Carlton,"Sat, 13-May-2000 7:40 PM",82,St Kilda,-27,10,2000,"Steven Hanley (66), Shane McInerney (81), Darren McCauley (59)",http://afltables.com/afl/stats/games/2000/031520000513.html,Docklands
34626,84,Adelaide,"Sun, 14-May-2000 2:10 PM",132,Essendon,48,10,2000,"Gavin Dore (232), Darren Morris (18), Vince Sercia (51)",http://afltables.com/afl/stats/games/2000/010520000514.html,Docklands
18817,79,Sydney,"Sun, 14-May-2000 2:10 PM",137,Western Bulldogs,58,10,2000,"David Howlett (277), Darren Goldspink (211), Derek Humphery-Smith (49)",http://afltables.com/afl/stats/games/2000/071620000514.html,S.C.G.
12400,60,Fremantle,"Sun, 14-May-2000 2:10 PM",148,Kangaroos,88,10,2000,"Michael Vozzo (20), Richard Fox (5), John Harvey (134)",http://afltables.com/afl/stats/games/2000/081220000514.html,M.C.G.
24908,84,Brisbane Lions,"Mon, 15-May-2000 7:00 PM",102,Melbourne,18,10,2000,"Brett Allen (158), Andrew Coates (195), Mark Nash (133)",http://afltables.com/afl/stats/games/2000/111920000515.html,Docklands
17509,55,Port Adelaide,"Fri, 19-May-2000 7:40 PM",117,St Kilda,62,11,2000,"Michael Vozzo (21), Mathew James (15), David Howlett (278)",http://afltables.com/afl/stats/games/2000/131520000519.html,Docklands
28944,99,Kangaroos,"Sat, 20-May-2000 2:10 PM",129,Carlton,30,11,2000,"Bryan Sheehan (295), Hayden Kennedy (243), Martin Ellis (67)",http://afltables.com/afl/stats/games/2000/031220000520.html,Princes Park
41057,80,Richmond,"Sat, 20-May-2000 2:10 PM",77,Hawthorn,-3,11,2000,"Brett Allen (159), Andrew Coates (196), Justin Schmitt (23)",http://afltables.com/afl/stats/games/2000/101420000520.html,M.C.G.
47071,145,Essendon,"Sat, 20-May-2000 7:40 PM",87,Geelong,-58,11,2000,"Gavin Dore (233), Scott McLaren (111), Stephen McBurney (89)",http://afltables.com/afl/stats/games/2000/050920000520.html,Docklands
20821,174,Western Bulldogs,"Sat, 20-May-2000 6:40 PM (8:40 PM)",81,Fremantle,-93,11,2000,"Chris Mitchell (288), Steven Hanley (67), Mark Nash (134)",http://afltables.com/afl/stats/games/2000/070820000520.html,Subiaco
29072,128,West Coast,"Sun, 21-May-2000 2:10 PM",92,Collingwood,-36,11,2000,"Darren Goldspink (212), Ray Kelsey (20), Mark McKenzie (92)",http://afltables.com/afl/stats/games/2000/041820000521.html,Docklands
37871,70,Melbourne,"Sun, 21-May-2000 2:10 PM (2:40 PM)",105,Adelaide,35,11,2000,"Stuart Wenn (66), Shane McInerney (82), Darren McCauley (60)",http://afltables.com/afl/stats/games/2000/011120000521.html,Football Park
19789,110,Brisbane Lions,"Sun, 21-May-2000 3:20 PM",107,Sydney,-3,11,2000,"John Harvey (135), Derek Humphery-Smith (50), Corin Rowe (17)",http://afltables.com/afl/stats/games/2000/161920000521.html,S.C.G.
39836,83,St Kilda,"Fri, 26-May-2000 7:40 PM",169,Essendon,86,12,2000,"Hayden Kennedy (244), Troy Burton (42), Michael Avon (11)",http://afltables.com/afl/stats/games/2000/051520000526.html,Docklands
34367,71,Geelong,"Sat, 27-May-2000 2:10 PM",67,Collingwood,-4,12,2000,"Chris Mitchell (289), Derek Humphery-Smith (51), Vince Sercia (52)",http://afltables.com/afl/stats/games/2000/040920000527.html,M.C.G.
30350,48,Sydney,"Sat, 27-May-2000 7:10 PM (7:40 PM)",98,Adelaide,50,12,2000,"David Howlett (279), Mark Nash (135), Michael Vozzo (22)",http://afltables.com/afl/stats/games/2000/011620000527.html,Football Park
16004,62,Fremantle,"Sat, 27-May-2000 7:40 PM",121,Hawthorn,59,12,2000,"John Harvey (136), Corin Rowe (18), Richard Fox (6)",http://afltables.com/afl/stats/games/2000/081020000527.html,Docklands
29967,111,Richmond,"Sat, 27-May-2000 7:40 PM",99,Brisbane Lions,-12,12,2000,"Darren Goldspink (213), Mark McKenzie (93), Stephen McBurney (90)",http://afltables.com/afl/stats/games/2000/141920000527.html,Gabba
26180,83,Melbourne,"Sun, 28-May-2000 2:10 PM",108,Western Bulldogs,25,12,2000,"Bryan Sheehan (296), Stuart Wenn (67), Scott McLaren (112)",http://afltables.com/afl/stats/games/2000/071120000528.html,Docklands
7334,59,Port Adelaide,"Sun, 28-May-2000 2:40 PM",76,Kangaroos,17,12,2000,"Martin Ellis (68), Darren Morris (19), Gavin Dore (234)",http://afltables.com/afl/stats/games/2000/121320000528.html,S.C.G.
39968,128,Carlton,"Sun, 28-May-2000 1:20 PM (3:20 PM)",78,West Coast,-50,12,2000,"Brett Allen (160), Andrew Coates (197), Justin Schmitt (24)",http://afltables.com/afl/stats/games/2000/031820000528.html,Subiaco
32959,121,Adelaide,"Fri, 2-Jun-2000 7:40 PM",112,Richmond,-9,13,2000,"Mark McKenzie (94), Gavin Dore (235), Ray Kelsey (21)",http://afltables.com/afl/stats/games/2000/011420000602.html,Docklands
41889,159,Carlton,"Sat, 3-Jun-2000 2:10 PM",61,Melbourne,-98,13,2000,"Hayden Kennedy (245), Chris Mitchell (290), Shane McInerney (83)",http://afltables.com/afl/stats/games/2000/031120000603.html,M.C.G.
22691,75,Collingwood,"Sat, 3-Jun-2000 7:10 PM (7:40 PM)",89,Port Adelaide,14,13,2000,"John Harvey (137), Vince Sercia (53), Kieron Nicholls (20)",http://afltables.com/afl/stats/games/2000/041320000603.html,Football Park
25359,89,West Coast,"Sat, 3-Jun-2000 7:40 PM",173,Brisbane Lions,84,13,2000,"David Howlett (280), Mark Nash (136), Troy Burton (43)",http://afltables.com/afl/stats/games/2000/181920000603.html,Gabba
67172,70,Kangaroos,"Sun, 4-Jun-2000 2:10 PM",119,Essendon,49,13,2000,"Scott McLaren (113), Andrew Coates (198), Martin Ellis (69)",http://afltables.com/afl/stats/games/2000/051220000604.html,M.C.G.
30573,119,Western Bulldogs,"Sun, 4-Jun-2000 2:10 PM",126,Geelong,7,13,2000,"Brett Allen (161), Steven Hanley (68), Corin Rowe (19)",http://afltables.com/afl/stats/games/2000/070920000604.html,Docklands
21353,78,Hawthorn,"Sun, 4-Jun-2000 2:40 PM",109,Sydney,31,13,2000,"Darren Goldspink (214), Justin Schmitt (25), Darren Morris (20)",http://afltables.com/afl/stats/games/2000/101620000604.html,S.C.G.
21278,56,St Kilda,"Sun, 4-Jun-2000 1:20 PM (3:20 PM)",100,Fremantle,44,13,2000,"Brett Rosebury (1), Bryan Sheehan (297), Darren McCauley (61)",http://afltables.com/afl/stats/games/2000/081520000604.html,Subiaco
26326,112,Brisbane Lions,"Fri, 9-Jun-2000 7:40 PM",116,Kangaroos,4,14,2000,"Hayden Kennedy (246), Darren Goldspink (215), Mark McKenzie (95)",http://afltables.com/afl/stats/games/2000/121920000609.html,Docklands
39710,78,Collingwood,"Sat, 10-Jun-2000 2:10 PM",143,Melbourne,65,14,2000,"Scott McLaren (114), Michael Vozzo (23), Mark Nash (137)",http://afltables.com/afl/stats/games/2000/041120000610.html,M.C.G.
31996,107,Port Adelaide,"Sat, 10-Jun-2000 6:40 PM (8:40 PM)",71,West Coast,-36,14,2000,"Gavin Dore (236), Stuart Wenn (68), Brett Rosebury (2)",http://afltables.com/afl/stats/games/2000/131820000610.html,Subiaco
31988,97,Geelong,"Sun, 11-Jun-2000 2:10 PM",107,Carlton,10,14,2000,"John Harvey (138), Steven Hanley (69), Shane McInerney (84)",http://afltables.com/afl/stats/games/2000/030920000611.html,Princes Park
29199,89,Essendon,"Sun, 11-Jun-2000 2:10 PM",76,Sydney,-13,14,2000,"David Howlett (281), Martin Ellis (70), Kieron Nicholls (21)",http://afltables.com/afl/stats/games/2000/051620000611.html,S.C.G.
21744,171,Hawthorn,"Sun, 11-Jun-2000 2:10 PM",86,St Kilda,-85,14,2000,"Chris Mitchell (291), Michael Avon (12), Troy Burton (44)",http://afltables.com/afl/stats/games/2000/101520000611.html,M.C.G.
40917,72,Fremantle,"Sun, 11-Jun-2000 8:10 PM (8:40 PM)",145,Adelaide,73,14,2000,"Andrew Coates (199), Derek Humphery-Smith (52), Richard Fox (7)",http://afltables.com/afl/stats/games/2000/010820000611.html,Football Park
49557,52,Western Bulldogs,"Mon, 12-Jun-2000 2:10 PM",87,Richmond,35,14,2000,"Brett Allen (162), Bryan Sheehan (298), Stephen McBurney (91)",http://afltables.com/afl/stats/games/2000/071420000612.html,M.C.G.
35542,82,St Kilda,"Fri, 16-Jun-2000 7:40 PM",115,Collingwood,33,15,2000,"Corin Rowe (20), Mathew James (16), Darren Goldspink (216)",http://afltables.com/afl/stats/games/2000/041520000616.html,M.C.G.
25563,96,Adelaide,"Sat, 17-Jun-2000 2:10 PM",120,Carlton,24,15,2000,"Hayden Kennedy (247), Derek Humphery-Smith (53), Stuart Wenn (69)",http://afltables.com/afl/stats/games/2000/010320000617.html,Princes Park
21003,128,Brisbane Lions,"Sat, 17-Jun-2000 2:10 PM",59,Geelong,-69,15,2000,"Bryan Sheehan (299), Martin Ellis (71), Michael Vozzo (24)",http://afltables.com/afl/stats/games/2000/091920000617.html,Kardinia Park
39215,141,Melbourne,"Sat, 17-Jun-2000 2:10 PM",72,Hawthorn,-69,15,2000,"Brett Allen (163), Justin Schmitt (26), Ray Kelsey (22)",http://afltables.com/afl/stats/games/2000/101120000617.html,M.C.G.
39694,76,West Coast,"Sat, 17-Jun-2000 7:40 PM",108,Essendon,32,15,2000,"Chris Mitchell (292), David Howlett (282), Troy Burton (45)",http://afltables.com/afl/stats/games/2000/051820000617.html,Docklands
27695,102,Kangaroos,"Sun, 18-Jun-2000 2:10 PM",106,Western Bulldogs,4,15,2000,"Gavin Dore (237), Scott McLaren (115), Stephen McBurney (92)",http://afltables.com/afl/stats/games/2000/071220000618.html,Docklands
26053,75,Richmond,"Sun, 18-Jun-2000 2:10 PM (2:40 PM)",103,Port Adelaide,28,15,2000,"John Harvey (139), Darren Morris (21), Richard Fox (8)",http://afltables.com/afl/stats/games/2000/131420000618.html,Football Park
