attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
45444,70,Western Bulldogs,"Fri, 7-May-2010 7:40 PM",66,Melbourne,-4,7,2010,"Chris Donlon (94), Stephen McBurney (319), Rob Findlay (18)",http://afltables.com/afl/stats/games/2010/071120100507.html,M.C.G.
29248,109,Port Adelaide,"Sat, 8-May-2010 2:10 PM",106,Essendon,-3,7,2010,"Matt Stevic (127), Sam Hay (17), Stuart Wenn (257)",http://afltables.com/afl/stats/games/2010/051320100508.html,Docklands
35864,94,Hawthorn,"Sat, 8-May-2010 1:10 PM (3:10 PM)",102,West Coast,8,7,2010,"Michael Vozzo (243), Stefan Grun (89), Troy Pannell (58)",http://afltables.com/afl/stats/games/2010/101820100508.html,Subiaco
52696,91,North Melbourne,"Sat, 8-May-2010 7:10 PM",157,Collingwood,66,7,2010,"Brett Rosebury (181), Simon Meredith (120), Jason Armstrong (25)",http://afltables.com/afl/stats/games/2010/041220100508.html,M.C.G.
27739,113,Fremantle,"Sat, 8-May-2010 7:10 PM",100,Brisbane Lions,-13,7,2010,"Mathew Nicholls (111), Shane McInerney (292), Jacob Mollison (26)",http://afltables.com/afl/stats/games/2010/081920100508.html,Gabba
25970,59,Sydney,"Sun, 9-May-2010 1:10 PM",126,Geelong,67,7,2010,"Ray Chamberlain (119), Shaun Ryan (168), Shane Stewart (29)",http://afltables.com/afl/stats/games/2010/091620100509.html,Kardinia Park
31196,54,Richmond,"Sun, 9-May-2010 4:10 PM (4:40 PM)",104,Adelaide,50,7,2010,"Dean Margetts (129), Heath Ryan (37), Michael Avon (171)",http://afltables.com/afl/stats/games/2010/011420100509.html,Football Park
42866,129,Carlton,"Mon, 10-May-2010 7:20 PM",68,St Kilda,-61,7,2010,"Luke Farmer (44), Hayden Kennedy (464), Scott Jeffery (171)",http://afltables.com/afl/stats/games/2010/031520100510.html,Docklands
41624,133,Collingwood,"Fri, 14-May-2010 6:40 PM (8:40 PM)",97,Fremantle,-36,8,2010,"Dean Margetts (130), Matt Stevic (128), Brett Rosebury (182)",http://afltables.com/afl/stats/games/2010/040820100514.html,Subiaco
14308,63,Sydney,"Sat, 15-May-2010 2:10 PM",101,Western Bulldogs,38,8,2010,"Luke Farmer (45), Ray Chamberlain (120), Shane McInerney (293)",http://afltables.com/afl/stats/games/2010/071620100515.html,Manuka Oval
28592,75,West Coast,"Sat, 15-May-2010 2:10 PM",46,Melbourne,-29,8,2010,"Simon Meredith (121), Stuart Wenn (258), Jacob Mollison (27)",http://afltables.com/afl/stats/games/2010/111820100515.html,M.C.G.
16479,75,Adelaide,"Sat, 15-May-2010 7:10 PM",84,North Melbourne,9,8,2010,"Mathew Nicholls (112), Scott Jeffery (172), Todd Keating (28)",http://afltables.com/afl/stats/games/2010/011220100515.html,Docklands
33629,155,Geelong,"Sat, 15-May-2010 7:10 PM",74,Brisbane Lions,-81,8,2010,"Hayden Kennedy (465), Heath Ryan (38), Michael Avon (172)",http://afltables.com/afl/stats/games/2010/091920100515.html,Gabba
